                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.28031,                0.21965,                0.76943,                0.54131,                0.30558,                0.34582,                0.28551,                0.75307,                 2.2414,                0.83068,              0.0075052,              0.0075052,              0.0075052
                    129,                 0.2714,                0.21381,                0.76827,                0.50289,                0.30119,                0.34814,                0.29367,                0.75161,                 2.1969,                0.82797,              0.0074854,              0.0074854,              0.0074854
                    130,                0.26938,                0.20508,                0.76891,                 0.5505,                0.30713,                0.34196,                0.28445,                0.74786,                 2.1436,                 0.8266,              0.0074656,              0.0074656,              0.0074656
                    131,                0.27473,                0.20698,                0.76619,                0.56034,                0.32492,                 0.3503,                0.29448,                0.74915,                 2.1739,                0.82696,              0.0074458,              0.0074458,              0.0074458
                    132,                0.27302,                0.20555,                0.76698,                 0.5589,                0.31465,                0.35628,                0.29809,                0.74809,                 2.0567,                0.82641,               0.007426,               0.007426,               0.007426
                    133,                0.27253,                0.20537,                 0.7652,                0.58832,                0.31661,                0.36185,                0.30105,                  0.763,                 2.1339,                0.82538,              0.0074062,              0.0074062,              0.0074062
                    134,                0.26982,                 0.2039,                0.76603,                0.57447,                0.29997,                0.35738,                0.29689,                0.75232,                 2.1185,                0.82989,              0.0073864,              0.0073864,              0.0073864
                    135,                0.27176,                0.20262,                0.76976,                0.54992,                0.28696,                0.34923,                0.28951,                0.74422,                 2.1548,                0.82773,              0.0073666,              0.0073666,              0.0073666
                    136,                0.26757,                0.20259,                0.76655,                0.51602,                 0.2977,                0.35214,                0.29553,                0.74101,                 2.1379,                0.82938,              0.0073468,              0.0073468,              0.0073468
                    137,                0.26743,                0.19796,                0.76665,                 0.4993,                0.29342,                0.34265,                0.29037,                0.73324,                 2.1348,                0.82546,               0.007327,               0.007327,               0.007327
                    138,                0.27524,                0.20541,                 0.7674,                0.54207,                0.30446,                0.33061,                0.28128,                0.73478,                 2.2262,                 0.8247,              0.0073072,              0.0073072,              0.0073072
                    139,                0.26791,                0.19823,                0.76567,                0.51401,                0.27778,                0.33043,                0.27893,                0.75082,                 2.2444,                0.82822,              0.0072874,              0.0072874,              0.0072874
                    140,                0.27522,                0.19699,                0.76618,                0.53049,                0.29976,                0.33372,                0.28451,                0.72444,                 2.2654,                0.82364,              0.0072676,              0.0072676,              0.0072676
                    141,                0.27243,                0.20646,                0.76487,                0.56042,                 0.3117,                0.34151,                0.28946,                0.75529,                 2.1202,                0.82303,              0.0072478,              0.0072478,              0.0072478
                    142,                0.26265,                0.19559,                0.76689,                0.54987,                 0.3012,                0.33445,                0.28294,                0.73489,                 2.1528,                0.82827,               0.007228,               0.007228,               0.007228
                    143,                0.26892,                0.19539,                0.76811,                0.59895,                0.32156,                0.34937,                0.29259,                0.73764,                 2.1143,                0.82422,              0.0072082,              0.0072082,              0.0072082
                    144,                0.26136,                0.19361,                 0.7677,                0.54648,                0.32408,                0.34658,                0.29371,                0.74475,                 2.1412,                0.82176,              0.0071884,              0.0071884,              0.0071884
                    145,                0.26489,                0.19856,                0.76536,                0.53989,                0.29386,                0.34661,                0.29237,                0.74798,                 2.2061,                0.82209,              0.0071686,              0.0071686,              0.0071686
                    146,                0.26588,                 0.1931,                0.76775,                0.56785,                0.30124,                0.34227,                0.28845,                0.74096,                 2.1847,                0.82482,              0.0071488,              0.0071488,              0.0071488
                    147,                0.26525,                0.19529,                 0.7661,                0.55132,                0.30731,                0.36001,                0.30542,                 0.7311,                 2.1487,                0.82338,               0.007129,               0.007129,               0.007129
                    148,                0.26319,                0.19574,                0.76561,                0.53636,                0.26719,                0.34263,                0.28958,                0.74174,                 2.1687,                 0.8259,              0.0071092,              0.0071092,              0.0071092
                    149,                0.25949,                0.19491,                0.76573,                0.48483,                0.28042,                0.32867,                0.27814,                 0.7331,                 2.0937,                0.82231,              0.0070894,              0.0070894,              0.0070894
                    150,                0.25845,                0.19628,                0.76775,                0.57519,                0.28979,                0.33779,                0.28699,                0.73336,                 2.1264,                0.82054,              0.0070696,              0.0070696,              0.0070696
                    151,                0.25632,                0.19558,                0.76636,                0.52976,                0.32024,                0.34462,                0.29096,                0.74528,                 2.1371,                0.82387,              0.0070498,              0.0070498,              0.0070498
